n	threads	time
16	1	0.001520
16	2	0.005709
16	4	0.005981
16	8	0.000045
16	16	0.007927
16	32	0.000200
16	64	0.009772
32	1	0.000097
32	2	0.000112
32	4	0.000085
32	8	0.000074
32	16	0.000066
32	32	0.000053
32	64	0.000042
64	1	0.000645
64	2	0.000699
64	4	0.000452
64	8	0.000262
64	16	0.000245
64	32	0.000169
64	64	0.000136
128	1	0.005066
128	2	0.005368
128	4	0.003160
128	8	0.001443
128	16	0.000950
128	32	0.000686
128	64	0.000487
256	1	0.040568
256	2	0.041466
256	4	0.028755
256	8	0.010059
256	16	0.005482
256	32	0.003384
256	64	0.002333
512	1	0.327450
512	2	0.327755
512	4	0.190064
512	8	0.095258
512	16	0.043532
512	32	0.021537
512	64	0.023101
1024	1	2.599407
1024	2	2.486673
1024	4	1.483799
1024	8	0.765844
1024	16	0.374537
1024	32	0.190866
1024	64	0.106910
