n	processes	time
2	1	0.000001
4	1	0.000001
8	1	0.000006
16	1	0.000036
32	1	0.000249
64	1	0.001861
128	1	0.017124
256	1	0.138127
512	1	1.111400
1024	1	9.048996
2	2	0.000027
4	2	0.000057
8	2	0.000189
16	2	0.000791
32	2	0.003746
64	2	0.018308
128	2	0.090830
256	2	0.639125
512	2	3.952154
1024	2	26.712801
2	4	0.000046
4	4	0.000084
8	4	0.000213
16	4	0.000817
32	4	0.003710
64	4	0.016707
128	4	0.076799
256	4	0.293297
512	4	2.214712
1024	4	14.415906
2	8	0.000065
4	8	0.000106
8	8	0.000243
16	8	0.000833
32	8	0.003747
64	8	0.016878
128	8	0.077608
256	8	0.280363
512	8	1.582812
1024	8	10.379824
2	16	0.000069
4	16	0.000108
8	16	0.000246
16	16	0.000838
32	16	0.003759
64	16	0.016984
128	16	0.078089
256	16	0.277306
512	16	1.225717
1024	16	8.073932
2	32	0.000074
4	32	0.000114
8	32	0.000249
16	32	0.000842
32	32	0.003766
64	32	0.016996
128	32	0.078133
256	32	0.278598
512	32	1.146635
1024	32	6.594390
2	64	0.000078
4	64	0.000117
8	64	0.000253
16	64	0.000843
32	64	0.003776
64	64	0.016991
128	64	0.078119
256	64	0.280444
512	64	1.159046
1024	64	5.906429
2	128	0.000082
4	128	0.000119
8	128	0.000256
16	128	0.000846
32	128	0.003753
64	128	0.016860
128	128	0.077385
256	128	0.283426
512	128	1.171810
1024	128	7.064086

