n	processes	time
2	1	0.000000
4	1	0.000001
8	1	0.000004
16	1	0.000026
32	1	0.000188
64	1	0.001399
128	1	0.010732
256	1	0.084212
512	1	0.690332
1024	1	5.348963
2	2	0.000013
4	2	0.000014
8	2	0.000028
16	2	0.000095
32	2	0.000518
64	2	0.002929
128	2	0.018002
256	2	0.118191
512	2	0.965398
1024	2	7.054725
2	4	0.000020
4	4	0.000026
8	4	0.000039
16	4	0.000087
32	4	0.000330
64	4	0.001571
128	4	0.007971
256	4	0.049781
512	4	0.431900
1024	4	3.158315
2	8	0.000031
4	8	0.000040
8	8	0.000061
16	8	0.000098
32	8	0.000336
64	8	0.001482
128	8	0.006530
256	8	0.034504
512	8	0.318574
1024	8	2.035662
2	16	0.000039
4	16	0.000048
8	16	0.000081
16	16	0.000286
32	16	0.000576
64	16	0.002175
128	16	0.009226
256	16	0.035562
512	16	0.244039
1024	16	1.760578
2	32	0.000069
4	32	0.000074
8	32	0.000115
16	32	0.000184
32	32	0.000817
64	32	0.002309
128	32	0.009884
256	32	0.045691
512	32	0.324332
1024	32	2.163636
2	64	0.000085
4	64	0.000090
8	64	0.000141
16	64	0.000219
32	64	0.000846
64	64	0.003099
128	64	0.011146
256	64	0.043009
512	64	0.266713
1024	64	1.985769
