n	threads	time
2	1	0.001579
4	1	0.000001
8	1	0.000002
16	1	0.000005
32	1	0.000024
64	1	0.000166
128	1	0.001241
256	1	0.009458
512	1	0.063122
1024	1	0.375493
2	2	0.000757
4	2	0.000002
8	2	0.000002
16	2	0.000004
32	2	0.000049
64	2	0.000104
128	2	0.000708
256	2	0.005320
512	2	0.040783
1024	2	0.330078
2	4	0.003566
4	4	0.000002
8	4	0.000004
16	4	0.000006
32	4	0.000054
64	4	0.000083
128	4	0.000569
256	4	0.004197
512	4	0.028421
1024	4	0.228873
2	8	0.003283
4	8	0.000003
8	8	0.000005
16	8	0.000007
32	8	0.000055
64	8	0.000075
128	8	0.000458
256	8	0.003072
512	8	0.020538
1024	8	0.146210
2	16	0.003584
4	16	0.000003
8	16	0.000004
16	16	0.000008
32	16	0.000053
64	16	0.000080
128	16	0.000338
256	16	0.002192
512	16	0.014233
1024	16	0.125751
2	32	0.005602
4	32	0.000003
8	32	0.000003
16	32	0.000006
32	32	0.000051
64	32	0.000067
128	32	0.000316
256	32	0.002028
512	32	0.015102
1024	32	0.115136
2	64	0.003533
4	64	0.000005
8	64	0.000005
16	64	0.000007
32	64	0.000029
64	64	0.000068
128	64	0.000318
256	64	0.001824
512	64	0.012526
1024	64	0.096755
